"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000115461",200904.539632615,1.27117462998784,0.039021908190745,32.5759218071589,8.99510889350913e-233,2.08062672002926e-230,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469045e-233,2.22391709780406e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865904025127,0.0429255253208339,32.3504262294325,1.36830929297768e-229,3.06608180790514e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707471074438,0.0417394298220325,-32.0338518385462,3.68495168250059e-225,8.13013724288322e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.4125632611251,0.0758991834053883,31.78641920611,9.9726854034762e-222,2.16694365714019e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461045457297,0.0449396518628238,-31.700522712582,1.52811228501109e-220,3.27084451930509e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275917525997,0.0437574069295187,31.6005739893869,3.62564276867023e-219,7.6463739625735e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016284205855,0.0943564400130723,31.5840958141879,6.10517129503222e-219,1.26890234118923e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640354938598,0.137002604627969,31.578987575706,7.17514978078147e-219,1.46998318580267e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922373190556,0.0474294458099742,31.3987166932568,2.1066625311779e-216,4.2551615999468e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66976100711477,0.0850645738356661,-31.3851100021074,3.23063139493956e-216,6.43478956039281e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188918941241,0.0364289622276702,31.3456414782266,1.11548957213515e-215,2.1914021854781e-213,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084106863501,0.0433065278929165,-30.7307265991345,2.21272571632358e-207,4.28820263483736e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488822368221,0.0685953292974217,30.685591063433,8.86154414532885e-207,1.69444539450881e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562504374777,0.0934150808512628,30.6762571699796,1.1803511720631e-206,2.22729159981011e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025745972714,0.0625633766218563,-30.5331579411555,9.46312585980451e-205,1.76247646695398e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43611344813932,0.112960262828264,-30.4187805703259,3.10104393875074e-203,5.70154758020825e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.14130180145925e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021941358144,0.0574984733890832,30.2654889949103,3.26351052015733e-201,5.85025054619703e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451431341185,0.064531264092326,-30.1329028768103,1.79680170238589e-199,3.18122632270568e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287810778867,0.0526817643199936,-30.046034490685,2.45991649888572e-198,4.30215396469757e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311465689075,0.109364029443011,-30.0200593706321,5.37147412956348e-198,9.2810012641048e-196,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007246086365,0.0507701746647397,-29.9402645529867,5.89105174145812e-197,1.00575682171727e-194,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36366667676038,0.112732094427372,-29.8377023317653,1.26765494586581e-195,2.13875759748959e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740351435656,0.0515795313367091,29.8064653655042,3.22123627794326e-195,5.37159877464934e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000171617",3172.76514957676,1.72303979741578,0.0580220402062198,29.6962980152338,8.57203905981913e-194,1.41300703628582e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000116729",14027.992136521,1.67569487856804,0.0564442791002231,29.6875946558313,1.11030270156905e-193,1.80941489127293e-191,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000173546",2782.7113944163,-1.70835976715379,0.0576024004096075,-29.6577877832475,2.69146340348676e-193,4.33688501903411e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132789702818,0.0470122568544596,29.5950033059558,1.73271948993378e-192,2.76099224501559e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58023175927854,0.0872005861154461,-29.5896148663787,2.0326293045846e-192,3.20328976451075e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95676862290842,0.0663622807167304,29.4861569218959,4.33260343230398e-191,6.75368106768166e-189,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273147315579,0.0557929885758355,-29.4433317713917,1.53244690504944e-190,2.36309903928107e-188,"CNN2","1265","calponin 2"
"ENSG00000066279",593.333577786577,-3.10048616440694,0.105322375655844,-29.4380576311556,1.79018475267823e-190,2.73117441895303e-188,"ASPM","259266","assembly factor for spindle microtubules"
"ENSG00000134250",3989.90689953644,-1.35592802797367,0.046065417361793,-29.43483649186,1.96845092402517e-190,2.97153207383632e-188,"NOTCH2","4853","notch receptor 2"
"ENSG00000116991",845.465812777274,2.42015157024323,0.0824234307731191,29.3624221600894,1.65864570056661e-189,2.47777479081519e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119416769534,0.0593355657737534,29.344865006167,2.77864836487838e-189,4.10810270110525e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240014314209,0.0659443043731716,29.1518753805247,7.90906388043387e-187,1.15738658274798e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.846641968982,0.0635803819431805,29.0442100620326,1.8209906802291e-185,2.63786134799652e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764295148571,0.0520699080108147,-28.9542080844963,2.48401951248978e-184,3.56233238286159e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825246172004,0.0673306218174098,-28.9356077388295,4.25844639963651e-184,6.04657225912745e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.4031308512281,0.0486558814070749,-28.8378467443419,7.19719031625812e-183,1.01191084632802e-180,"LMO7","4008","LIM domain 7"
"ENSG00000171444",1285.81453923875,1.85633993434062,0.0644802497309872,28.7892795404066,2.92174590946626e-182,4.06803476579181e-180,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000135318",10396.875971113,-1.18098838279743,0.0410237917968678,-28.7878894434035,3.04118866554961e-182,4.19362371660067e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000145147",601.510428483162,-2.68631015145737,0.0933997532361915,-28.7614266460016,6.51836672218117e-182,8.90284734883811e-180,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375788038637,0.0561670175216857,-28.7314148336844,1.54621875940013e-181,2.09191728571295e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000088448",1041.5088322989,2.36777522610675,0.0824194578125523,28.7283523690706,1.68860548358219e-181,2.26320478878992e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108829",3850.57518186778,-1.47517528931495,0.0513607522707319,-28.7218396167376,2.03645112287352e-181,2.70414310677122e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000108932",593.620514665934,3.86329366423222,0.135011340940389,28.6145862808516,4.42432257175714e-180,5.82102844051094e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519569696717,0.0428778435433669,-28.574097849114,1.4101339031112e-179,1.83843002768342e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280705046058,0.0889998955845806,-28.4585395727071,3.82071916844908e-178,4.9363003238494e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379237779969,0.0451622566243216,28.4262229958705,9.59011124981979e-178,1.22796236994344e-175,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607114891422,0.0531061966952161,28.3596122983119,6.37102071981671e-177,8.08555824273375e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089195988851,0.0724320614971743,28.3146981805635,2.27844683190883e-176,2.86624614178987e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257762854007,0.0556353015619143,28.2658237556242,9.09648021311282e-176,1.13437063248914e-173,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000117399",548.054729960495,-3.23340766413201,0.114611044157382,-28.2120077336697,4.16580509012795e-175,5.15015610323491e-173,"CDC20","991","cell division cycle 20"
"ENSG00000147065",17820.4971549208,-1.03012488431833,0.0365541074935197,-28.1808243984879,1.00469692005828e-174,1.23148363509024e-172,"MSN","4478","moesin"
"ENSG00000135926",1251.33626199858,-1.85342973865483,0.0658992094134088,-28.1252196369704,4.81674378978174e-174,5.85397649908982e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852053496691,0.0552433862776177,28.030876441662,6.83350269125026e-173,8.23523210884201e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964799456722,0.0590525944464071,-27.9352331600664,9.96473845779194e-172,1.19086928519328e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534420466677,0.0951920138555323,27.8946110825709,3.10148566396232e-171,3.67590131461848e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381566099583,0.0844161632938948,27.8834712352542,4.23320469564417e-171,4.97609742133058e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570137364692,0.0461525979058646,-27.857616515311,8.70998198608114e-171,1.01552724928772e-168,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83419887903086,0.101889182808505,27.816484546329,2.74107762703211e-170,3.17014469752158e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110442237537,0.0682212056287941,-27.7201847276822,3.98808303384771e-169,4.5754479030728e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206923789598,0.0770588567011015,27.6680621692316,1.69230474187771e-168,1.92613827803716e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794361090409,0.0823902661286602,27.6482128040085,2.93234847374709e-168,3.31124483952811e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088905580545,0.102889467040076,27.5138858937115,1.19765818077209e-166,1.34184499769161e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938268479113,0.0574975208447307,-27.4687092867218,4.15358022380902e-166,4.61755767361591e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74230011794527,0.0634862760731016,-27.4437284042159,8.25450151870442e-166,9.10598509844155e-164,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41301553569251,0.124565234425959,27.3994228921168,2.78629288499723e-165,3.05024627967521e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230364327601,0.102004676014642,-27.374270988079,5.55367185370758e-165,6.03372788288033e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03751042880906,0.0744453667606158,-27.3692039876816,6.38107472943468e-165,6.88052576652802e-163,"SUB1","10923","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.32924052136548,0.121645715029515,-27.3683336939382,6.53509653388629e-165,6.99401637257189e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606708730549,0.0550850299162819,-27.3407691634988,1.39044298702667e-164,1.47706243532959e-162,"EPG5","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000076641",954.690284174,2.03263447210535,0.0744698626567842,27.2947256727642,4.89937592359753e-164,5.16631986178766e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268572e-164,6.58258061677197e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000089685",509.548185635596,-3.09766312505179,0.114544514409971,-27.0433127331163,4.57782669192392e-161,4.75729076731021e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000136378",1190.06353560081,2.13136840091643,0.0788176097822403,27.0417792014379,4.7719332632526e-161,4.9233305703817e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000111206",489.63700653501,-3.02314749206289,0.111882971581869,-27.0206220778713,8.46072219710561e-161,8.66680121633511e-159,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444212645416,0.0649383750051509,-26.8630394018296,5.93972681996932e-159,6.04124981029646e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000075426",1241.54577193998,-2.02417563306882,0.0753908345708004,-26.8490943838524,8.64247757654875e-159,8.72829372713279e-157,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000167553",3002.80270522025,-1.43654695080458,0.0535206465988847,-26.8409864621201,1.07472292725776e-158,1.07780430068556e-156,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000113319",1375.65463563177,1.72034852424182,0.0641424185431091,26.8207617254968,1.8505112540401e-158,1.84292929820758e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860115888448,0.0510867150939604,-26.7897663094466,4.25228032859754e-158,4.20565187533913e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17983114663853,0.0813740463450926,26.7877934617416,4.48338799991652e-158,4.40385392512348e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.0690291467747,0.0775650306366972,-26.6747673505825,9.23816318118221e-157,9.01255089668939e-155,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579755971329,0.0580440108845939,-26.631473879135,2.9337571013296e-156,2.84277098582215e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.7205008091826,0.102189245352079,-26.6221831838517,3.75847610460253e-156,3.61747018900033e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.74332420153001e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647148455159,0.0383413549542742,-26.5110997189282,7.218972494075e-155,6.8561115587768e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975957780442,0.0415489647232236,26.4690007351666,2.20541669998271e-154,2.0807816377929e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99317234384042,0.113289933062709,-26.4204617561527,7.97528194473491e-154,7.47539335747996e-152,"TK1","7083","thymidine kinase 1"
"ENSG00000091844",494.500786591075,2.80821527607916,0.106371812970968,26.3999944876901,1.37036880792484e-153,1.27613370613313e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000091409",2615.20252718009,-1.34488107013224,0.0509585067290898,-26.391689169426,1.70679871913493e-153,1.57917422136219e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000169439",2385.18491369971,1.32446359828987,0.0502275321804606,26.3692747939766,3.08566990446016e-153,2.82583932912952e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995018185057,0.0652257809537047,26.3691772900555,3.09362509360111e-153,2.82583932912952e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884400662915,0.0638857269940833,26.2788589192174,3.34585446204315e-152,3.03689233165574e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.0033012364059,0.0382305668252974,-26.24343083875,8.49475779951897e-152,7.66184412596865e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50770952565266,0.134045857904599,26.1679814690665,6.15299502702352e-151,5.51500635515902e-149,"RIPOR3","140876","RIPOR family member 3"
